,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,0.07944755554199219,0.0010494828098929572,0.013036394119262695,0.0006453737821854314,1,10.0,scale,sigmoid,"{'C': 1, 'coef0': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.13,0.14,0.13,0.13,0.13,0.132,0.0040000000000000036,49
12,0.033780384063720706,0.005745002641607553,0.010339450836181641,0.0011714351469327591,1,0.5,auto,linear,"{'C': 1, 'coef0': 0.5, 'gamma': 'auto', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
13,0.05287027359008789,0.0010985244943448342,0.02407097816467285,0.0009884852806364714,1,0.5,auto,rbf,"{'C': 1, 'coef0': 0.5, 'gamma': 'auto', 'kernel': 'rbf'}",0.86,0.89,0.79,0.9,0.86,0.86,0.03847076812334268,36
14,0.08203926086425781,0.002051603128268253,0.022363567352294923,0.0009033525558223357,1,0.5,auto,sigmoid,"{'C': 1, 'coef0': 0.5, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.55,0.61,0.55,0.66,0.6,0.5940000000000001,0.04127953488110058,46
15,0.04308676719665527,0.0077370794353341325,0.013832998275756837,0.002222894316941041,1,0.5,scale,linear,"{'C': 1, 'coef0': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
16,0.06247353553771973,0.007001271320075903,0.02321596145629883,0.0042937274611785335,1,0.5,scale,rbf,"{'C': 1, 'coef0': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.89,0.92,0.81,0.92,0.89,0.8859999999999999,0.04029888335921976,13
17,0.07444357872009277,0.004671940811487471,0.012808275222778321,0.002266072216021268,1,0.5,scale,sigmoid,"{'C': 1, 'coef0': 0.5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.18,0.19,0.18,0.2,0.21,0.192,0.011661903789690604,48
18,0.042410421371459964,0.011822353085838915,0.01267848014831543,0.002653923025997704,5,0.01,auto,linear,"{'C': 5, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
19,0.05615220069885254,0.005884281319698966,0.03611845970153808,0.00612931579696563,5,0.01,auto,rbf,"{'C': 5, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.87,0.93,0.85,0.92,0.88,0.89,0.03033150177620623,7
20,0.043088340759277345,0.004680435146632691,0.013994312286376953,0.003167339902058586,5,0.01,auto,sigmoid,"{'C': 5, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.84,0.92,0.8,0.91,0.87,0.868,0.04445222154178575,34
21,0.04016108512878418,0.004683925853097271,0.012172698974609375,0.0037192726008584446,5,0.01,scale,linear,"{'C': 5, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
22,0.064152193069458,0.007284200593142397,0.022348928451538085,0.001582579925356775,5,0.01,scale,rbf,"{'C': 5, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.9,0.93,0.86,0.92,0.89,0.9,0.024494897427831803,1
23,0.058159589767456055,0.008429680748274168,0.019878053665161134,0.004835908499605336,5,0.01,scale,sigmoid,"{'C': 5, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.71,0.74,0.76,0.78,0.78,0.7540000000000001,0.02653299832284322,43
